,eta,razza,mangime,temperatura,peso,q_uova_mensili
0,24,Sussex,Type B,33.41719896452101,2713.5083955729224,3.0
1,38,Plymouth Rock,Type C,34.87213002717572,2313.3035047274643,5.0
2,30,Leghorn,Type A,20.922755393588524,2308.8406570400366,7.0
3,9,Sussex,Type A,33.24359403706192,3110.8813789070327,4.0
4,65,Sussex,Type A,27.74118530665425,2486.098303301612,7.0
5,13,Plymouth Rock,Type A,33.5977057916687,2871.536375163316,2.0
6,54,Leghorn,Type A,28.56978412879361,2299.915729739979,4.0
7,10,Leghorn,Type A,29.93168015159847,2329.920377148467,13.0
8,64,Sussex,Type A,28.156683619960987,3124.7700880884554,6.0
9,48,Rhode Island Red,Type B,32.967393204610225,2831.2455536251364,2.0
10,15,Sussex,Type C,31.008648784305528,2214.4064829931644,3.0
11,70,Sussex,Type A,27.818904682706226,2434.7635354198965,5.0
12,51,Sussex,Type B,33.022412060773206,2784.310369687223,3.0
13,7,Sussex,Type B,23.679282983830017,2668.739131373587,12.0
14,34,Plymouth Rock,Type C,22.36010989553789,2344.3876321336675,5.0
15,25,Leghorn,Type A,22.40600157995108,2271.759230746824,4.0
16,32,Plymouth Rock,Type C,25.010133181178567,2481.0380813810284,1.0
17,66,Plymouth Rock,Type A,23.580350469515263,2893.5826353142784,8.0
18,37,Plymouth Rock,Type B,33.95135525764608,2751.148821360444,3.0
19,39,Sussex,Type B,21.58751140742876,3238.2591683481037,4.0
20,56,Rhode Island Red,Type B,30.484861070593816,3596.8330256590293,3.0
21,38,Leghorn,Type B,22.83832309677509,2709.6612307216983,8.0
22,45,Rhode Island Red,Type C,33.224556991555254,2884.803617221103,5.0
23,55,Plymouth Rock,Type A,34.41972932277361,2728.0701387843387,5.0
24,51,Plymouth Rock,Type A,26.982050131549755,2644.3887088961806,4.0
25,62,Rhode Island Red,Type C,33.18607220342197,3116.300485925724,4.0
26,61,Rhode Island Red,Type A,20.07717756132072,3186.0634882879785,3.0
27,27,Rhode Island Red,Type B,32.299203761121504,3782.8925217190686,7.0
28,52,Plymouth Rock,Type A,23.429377422873852,2885.243009674278,9.0
29,26,Plymouth Rock,Type B,33.630519639040514,2891.94003635514,4.0
30,21,Leghorn,Type C,20.01680167220164,2147.774232950342,4.0
31,73,Leghorn,Type A,28.342726025596356,2115.604748560169,9.0
32,15,Plymouth Rock,Type C,31.349537056774018,2242.8375551191134,6.0
33,19,Rhode Island Red,Type A,23.88032496046862,3398.482615767439,1.0
34,39,Rhode Island Red,Type B,22.896992968809396,3185.0520633134165,3.0
35,37,Leghorn,Type C,21.261473367019768,2048.03235666424,5.0
36,20,Plymouth Rock,Type A,24.896503647549395,3090.5599026101036,5.0
37,38,Leghorn,Type B,28.397664684632442,2531.9583218158755,8.0
38,70,Leghorn,Type C,21.737657851703865,2088.5049351589887,9.0
39,44,Sussex,Type C,25.650430429801983,2443.859188421301,7.0
40,32,Sussex,Type A,20.136086069790874,2793.9079605616416,4.0
41,51,Sussex,Type A,32.280191307497624,3013.952518479493,5.0
42,43,Rhode Island Red,Type A,21.92673077139787,2947.052544426274,7.0
43,74,Plymouth Rock,Type B,24.250144223983725,3561.2408063235684,3.0
44,24,Plymouth Rock,Type A,20.27641578107326,2594.6964592283275,6.0
45,5,Plymouth Rock,Type C,26.483611758387685,2330.080669828947,6.0
46,67,Plymouth Rock,Type C,32.60182254111828,2214.381446072085,3.0
47,71,Sussex,Type A,25.88226817167795,2612.70495006595,4.0
48,8,Rhode Island Red,Type A,22.6924598513575,3445.188928158795,15.0
49,62,Rhode Island Red,Type C,31.305482510757788,2954.764342552661,5.0
50,29,Sussex,Type B,31.832104728061164,3026.8635972455727,3.0
51,51,Rhode Island Red,Type A,22.606302129613503,2812.63501492272,3.0
52,42,Sussex,Type A,31.562811628114847,2159.2530574621655,9.0
53,19,Plymouth Rock,Type C,34.20946832384507,2294.908441267346,5.0
54,67,Sussex,Type A,22.495663803984087,2801.2917764268186,8.0
55,25,Plymouth Rock,Type B,31.56476438798203,3211.8197203971968,4.0
56,61,Plymouth Rock,Type C,30.62858006903944,3016.9739072718367,3.0
57,57,Leghorn,Type A,27.103608326526327,1863.1083214520454,4.0
58,50,Sussex,Type C,20.868806908381973,2529.881261088526,3.0
59,18,Leghorn,Type A,21.120416266367812,2463.543980817416,6.0
60,21,Sussex,Type A,32.78621988797971,2597.5536845972106,5.0
61,43,Sussex,Type A,34.8522255912597,3070.6493408612996,5.0
62,13,Leghorn,Type B,30.140783857801317,1737.989586377198,8.0
